ID,AUTHOR,WORK,LOCATION,TEXT,MV,SELECT,CHECK,MV_PERSONAL
29,Aeschines (0026),Against Ctesiphon (003),t.1,"ἐβουλόμην μὲν οὖν, ὦ ἄνδρες Ἀθηναῖοι, καὶ τὴν βουλὴν τοὺς πεντακοσίους καὶ τὰς ἐκκλησίας ὑπὸ τῶν ἐφεστηκότων ὀρθῶς διοικεῖσθαι, καὶ τοὺς νόμους οὓς ἐνομοθέτησεν ὁ Σόλων περὶ τῆς τῶν ῥητόρων εὐκοσμίας ἰσχύειν, ἵνα ἐξῆν πρῶτον μὲν τῷ πρεσβυτάτῳ τῶν πολιτῶν, ὥσπερ οἱ νόμοι προστάττουσι, σωφρόνως ἐπὶ τὸ βῆμα παρελθόντι ἄνευ θορύβου καὶ ταραχῆς ἐξ ἐμπειρίας τὰ βέλτιστα τῇ πόλει συμβουλεύειν, δεύτερον δ’ ἤδη καὶ τῶν ἄλλων πολιτῶν τὸν βουλόμενον καθ’ ἡλικίαν χωρὶς καὶ ἐν μέρει περὶ ἑκάστου γνώμην ἀποφαίνεσθαι·",ἔξεστι,TRUE,TRUE,FALSE
35,Aeschines (0026),Against Timarchus (001),150.1,"ὡς τοίνυν ἐξῆν αὐτῷ σωθῆναι μὴ τιμωρησαμένῳ τὸν τοῦ Πατρόκλου θάνατον, ἀνάγνωθι ἃ λέγει ἡ Θέτις.",ἔξεστι,TRUE,FALSE,FALSE
58,Aeschines (0026),The Speech on the Embassy (002),4.1,"ἐμοὶ δέ, ἄνδρες Ἀθηναῖοι, συμβέβηκε τῆς Δημοσθένους ἀκούοντι κατηγορίας μήτε δεῖσαι πώποθ’ οὕτως ὡς ἐν τῇδε τῇ ἡμέρᾳ, μήτ’ ἀγανακτῆσαι μᾶλλον ἢ νῦν, μήτ’ εἰς ὑπερβολὴν ὁμοίως ἡσθῆναι.",συμβαίνω,TRUE,FALSE,FALSE
59,Aeschines (0026),The Speech on the Embassy (002),28.1,"ἀφικομένου δ’ εἰς τοὺς τόπους Ἰφικράτους μετ’ ὀλίγων τὸ πρῶτον νεῶν, ἐπὶ κατασκοπῇ μᾶλλον τῶν πραγμάτων ἢ πολιορκία τῆς πόλεως, ἐνταῦθα, ἔφην ἐγώ, μετεπέμψατο αὐτὸν Εὐρυδίκη ἡ μήτηρ ἡ σή, καὶ ὥς γε δὴ λέγουσιν οἱ παρόντες πάντες, Περδίκκαν μὲν τὸν ἀδελφὸν τὸν σὸν καταστήσασα εἰς τὰς χεῖρας τὰς Ἰφικράτους, σὲ δὲ εἰς τὰ γόνατα τὰ ἐκείνου θεῖσα παιδίον ὄντα, εἶπεν ὅτι Ἀμύντας ὁ πατὴρ τῶν παιδίων τούτων, ὅτ’ ἔζη, υἱὸν ἐποιήσατό σε, τῇ δὲ Ἀθηναίων πόλει οἰκείως ἐχρήσατο, ὥστε συμβαίνει σοι καὶ ἰδίᾳ τῶν παίδων τούτων γεγενῆσθαι ἀδελφῷ, καὶ δημοσίᾳ φίλῳ ἡμῖν εἶναι.",συμβαίνω,TRUE,FALSE,FALSE
63,Aeschines (0026),The Speech on the Embassy (002),147.5,"συμβέβηκε δὲ αὐτῷ νέῳ μὲν ὄντι, πρὶν τὴν οὐσίαν ἀπολέσαι διὰ τὸν πόλεμον, ἀθλεῖν τῷ σώματι, ἐκπεσόντι δὲ ὑπὸ τῶν τριάκοντα στρατεύεσθαι μὲν ἐν τῇ Ἀσίᾳ, ἀριστεύειν δ’ ἐν τοῖς κινδύνοις, εἶναι δ’ ἐκ φρατρίας τὸ γένος ἣ τῶν αὐτῶν βωμῶν Ἐτεοβουτάδαις μετέχει, ὅθεν ἡ τῆς Ἀθηνᾶς τῆς Πολιάδος ἐστὶν ἱέρεια, συγκατάγειν δὲ τὸν δῆμον, ὥσπερ καὶ ὀλίγῳ πρότερον εἶπον.",συμβαίνω,TRUE,FALSE,FALSE
67,Aeschines (0026),Against Ctesiphon (003),91.6,"οὐδὲν γὰρ ἦν τὸ μέσον, εἰ μνησθεὶς τῶν προτέρων ἀδικημάτων ὁ δῆμος μὴ προσδέξαιτο τὴν συμμαχίαν, ἀλλ’ ὑπῆρχεν αὐτῷ ἢ φεύγειν ἐκ Χαλκίδος, ἢ τεθνάναι ἐγκαταληφθέντι·",ὑπάρχω,TRUE,FALSE,FALSE
71,Aeschines (0026),Against Timarchus (001),72.1,"τίς οὖν οὕτω ταλαίπωρός ἐστιν ἄνθρωπος, ὅστις ἂν ἐθελήσειε σαφῶς τοιαύτην μαρτυρίαν μαρτυρῆσαι, ἐξ ἧς ὑπάρχει αὐτῷ, ἐὰν τἀληθῆ μαρτυρήσῃ, ἐπιδεικνύναι ἔνοχον ὄντα ἑαυτὸν τοῖς ἐσχάτοις ἐπιτιμίοις;",ὑπάρχω,TRUE,FALSE,FALSE
75,Aeschines (0026),Against Ctesiphon (003),158.3,"ὑμεῖς δέ, ὦ ἄνδρες Ἀθηναῖοι, οὐκ αἰσχύνεσθε, εἰ ἐπὶ μὲν τοὺς πορθμέας τοὺς εἰς Σαλαμῖνα πορθμεύοντας νόμον ἔθεσθε, ἐάν τις αὐτῶν ἄκων ἐν τῷ πόρῳ πλοῖον ἀνατρέψῃ, τούτῳ μὴ ἐξεῖναι πάλιν πορθμεῖ γενέσθαι, ἵνα μηδεὶς αὐτοσχεδιάζῃ εἰς τὰ τῶν Ἑλλήνων σώματα, τὸν δὲ τὴν Ἑλλάδα καὶ τὴν πόλιν ἄρδην ἀνατετροφότα, τοῦτον ἐάσετε πάλιν ἀπευθύνειν τὰ κοινά;",ἔξεστι,TRUE,TRUE,FALSE
92,Aeschines (0026),Against Timarchus (001),37.4,"δέομαι δ’ ὑμῶν, ὦ ἄνδρες Ἀθηναῖοι, συγγνώμην ἔχειν, ἐὰν ἀναγκαζόμενος λέγειν περὶ ἐπιτηδευμάτων φύσει μὲν μὴ καλῶν, τούτῳ δὲ πεπραγμένων, ἐξαχθῶ τι ῥῆμα εἰπεῖν ὅ ἐστιν ὅμοιον τοῖς ἔργοις τοῖς Τιμάρχου.",δέομαι,TRUE,FALSE,TRUE
93,Aeschines (0026),The Speech on the Embassy (002),t.1,"δέομαι ὑμῶν, ὦ ἄνδρες Ἀθηναῖοι, ἐθελῆσαί μου μετ’ εὐνοίας ἀκοῦσαι λέγοντος, ὑπολογιζομένους τό τε μέγεθος τοῦ κινδύνου καὶ τὸ πλῆθος τῶν αἰτιῶν πρὸς ἂς ἀπολογήσασθαί με δεῖ, καὶ τὰς τέχνας καὶ τὰς κατασκευὰς τοῦ κατηγόρου καὶ τὴν ὠμότητα, ὃς ἐτόλμησε παρακελεύσασθαι πρὸς ἄνδρας ὀμωμοκότας τῶν ἀντιδίκων ὁμοίως ἀμφοτέρων ἀκούσεσθαι τοῦ κινδυνεύοντος φωνὴν μὴ ὑπομένειν.",δέομαι,TRUE,FALSE,TRUE
94,Aeschines (0026),The Speech on the Embassy (002),6.6,"περὶ δὲ τῆς ἄλλης κατηγορίας δέομαι ὑμῶν, ὦ ἄνδρες Ἀθηναῖοι, ἐάν τι παραλίπω καὶ μὴ μνησθῶ, ἐπερωτᾶν με καὶ δηλοῦν ὅ τι ἂν ποθῆτε ἀκοῦσαι, μηδὲν προκατεγνωκότας, ἀλλ’ ἴσῃ τῇ εὐνοίᾳ ἀκούοντας.",δέομαι,TRUE,FALSE,TRUE
97,Aeschines (0026),The Speech on the Embassy (002),44.5,δέομαι δὲ ὑμῶν προσεπιπονῆσαι ἀκούοντας καὶ τὴν λοιπὴν διήγησιν.,δέομαι,TRUE,FALSE,TRUE
