Author;Work;Location;Text;MVI;SID
Aeschines (0026);Against Ctesiphon (003);2.11;οὕτω γὰρ ἄν μοι δοκεῖ ἥ τε πόλις ἄριστα διοικεῖσθαι, αἵ τε κρίσεις ἐλάχισται γίγνεσθαι.;δοκέω;4
Aeschines (0026);Against Ctesiphon (003);79.1;ὡς γὰρ τάχιστα εἴσω Πυλῶν Φίλιππος παρῆλθε, καὶ τάς τε ἐν Φωκεῦσι πόλεις παραδόξως ἀναστάτους ἐποίησε, Θηβαίους τε, ὡς τόθ’ ὑμῖν ἐδόκει, περαιτέρω τοῦ καιροῦ καὶ τοῦ ὑμετέρου συμφέροντος ἰσχυροὺς κατεσκεύασεν, ὑμεῖς τε ἐκ τῶν ἀγρῶν φοβηθέντες ἐσκευαγωγήσατε, ἐν ταῖς μεγίσταις δ’ ἦσαν αἰτίαις οἱ πρέσβεις οἱ τὴν εἰρήνην πρεσβεύσαντες, πολὺ δὲ τῶν ἄλλων διαφερόντως Φιλοκράτης καὶ Δημοσθένης, διὰ τὸ μὴ μόνον πρεσβεύειν, ἀλλὰ καὶ τὰ ψηφίσματα γεγραφέναι, συνέβη τε ἐν τοῖς αὐτοῖς χρόνοις διαφέρεσθαί τι Δημοσθένην καὶ Φιλοκράτην σχεδὸν ὑπὲρ τούτων ὑπὲρ ὧν καὶ ὑμεῖς ὑπωπτεύσατε·;δοκέω;248
Aeschines (0026);Against Ctesiphon (003);145.5;καὶ τηλικαύτην αὐτὸς αὐτῷ δυναστείαν κατεσκεύασεν, ὥστ’ ἤδη παριὼν ἐπὶ τὸ βῆμα πρεσβεύσειν μὲν ἔφη ὅποι ἂν αὑτῷ δοκῇ, κἂν ὑμεῖς ἐκπέμπητε, εἰ δέ τις αὐτῷ τῶν στρατηγῶν ἀντείποι, καταδουλούμενος τοὺς ἄρχοντας καὶ συνεθίζων μηδὲν αὑτῷ ἀντιλέγειν, διαδικασίαν ἔφη γράψειν τῷ βήματι πρὸς τὸ στρατήγιον·;δοκέω;423
Aeschines (0026);Against Ctesiphon (003);155.4;καὶ γὰρ ἐὰν αὐτὰ διεξίῃ τὰ ἐκ τοῦ Ψηφίσματος προστάγματα, ἀλλ’ οὐ τό γ’ ἐκ τῆς ἀληθείας αἰσχρὸν σιωπήσεται, ἀλλὰ τἀναντία δόξει τῇ τοῦ κήρυκος φωνῇ φθέγγεσθαι, ὅτι τόνδε τὸν ἄνδρα, εἰ δὴ καὶ οὗτος ἀνήρ, στεφανοῖ ὁ δῆμος ὁ Ἀθηναίων ἀρετῆς ἕνεκα—τὸν κάκιστον, καὶ ἀνδραγαθίας ἕνεκα—τὸν ἄνανδρον καὶ λελοιπότα τὴν τάξιν.;δοκέω;442
Aeschines (0026);Against Ctesiphon (003);177.8;εἰ γάρ τις ὑμᾶς ἐρωτήσειε, πότερον ὑμῖν ἐνδοξοτέρα δοκεῖ ἡ πόλις ἡμῶν εἶναι ἐπὶ τῶν νυνὶ καιρῶν ἢ ἐπὶ τῶν προγόνων, ἅπαντες ἂν ὁμολογήσαιτε, ἐπὶ τῶν προγόνων.;δοκέω;537
Aeschines (0026);Against Ctesiphon (003);181.1;"πότερον ὑμῖν ἀμείνων ἀνὴρ εἶναι δοκεῖ Θεμιστοκλῆς, ὁ στρατηγήσας ὅτ’ ἐν τῇ περὶ Σαλαμῖνα ναυμαχίᾳ τὸν Πέρσην ἐνικᾶτε, ἢ Δημοσθένης, ὁ νυνὶ τὴν τάξιν λιπών;";δοκέω;550
Aeschines (0026);Against Ctesiphon (003);183.4;οὗτοι δεῦρο ἀφικόμενοι τὸν δῆμον ᾔτησαν δωρεάν, καὶ ἔδωκεν αὐτοῖς ὁ δῆμος τιμὰς μεγάλας, ὡς τότ’ ἐδόκει, τρεῖς λιθίνους Ἑρμᾶς στῆσαι ἐν τῇ στοᾷ τῇ τῶν Ἑρμῶν, ἐφ’ ᾧτε μὴ ἐπιγράφειν τὸ ὄνομα τὸ ἑαυτῶν, ἵνα μὴ τῶν στρατηγῶν, ἀλλὰ τοῦ δήμου δοκῇ εἶναι τὸ ἐπίγραμμα.;δοκέω;561
Aeschines (0026);Against Ctesiphon (003);250.1;"ἢ οὐ δεινὸν ὑμῖν εἶναι δοκεῖ, εἰ τὸ μὲν βουλευτήριον καὶ ὁ δῆμος παρορᾶται, αἱ δ’ ἐπιστολαὶ καὶ αἱ πρεσβεῖαι ἀφικνοῦνται εἰς ἰδιωτικὰς οἰκίας, οὐ παρὰ τῶν τυχόντων ἀνθρώπων, ἀλλὰ παρὰ τῶν πρωτευόντων ἐν τῇ Ἀσίᾳ καὶ τῇ Εὐρώπῃ;";δοκέω;809
Aeschines (0026);Against Timarchus (001);4.1;ἀλλά μοι δοκεῖ καιρὸς εἶναι καὶ ἐμὲ νῦν πρὸς ὑμᾶς τῷ αὐτῷ λόγῳ χρήσασθαι.;δοκέω;10
Aeschines (0026);Against Timarchus (001);25.1;καὶ οὕτως ἦσαν σώφρονες οἱ ἀρχαῖοι ἐκεῖνοι ῥήτορες, ὁ Περικλῆς καὶ ὁ Θεμιστοκλῆς καὶ ὁ Ἀριστείδης, ὁ τὴν ἀνόμοιον ἔχων ἐπωνυμίαν Τιμάρχῳ τουτῳί, ὥστε ὃ νυνὶ πάντες ἐν ἔθει πράττομεν, τὸ τὴν χεῖρα ἔξω ἔχοντες λέγειν, τότε τοῦτο θρασύ τι ἐδόκει εἶναι, καὶ εὐλαβοῦντο αὐτὸ πράττειν.;δοκέω;86
Aeschines (0026);Against Timarchus (001);30.3;τὸν γὰρ τὴν ἰδίαν οἰκίαν κακῶς οἰκήσαντα, καὶ τὰ κοινὰ τῆς πόλεως παραπλησίως ἡγήσατο διαθήσειν, καὶ οὐκ ἐδόκει οἷόν τ’ εἶναι τῷ νομοθέτῃ τὸν αὐτὸν ἄνθρωπον ἰδίᾳ μὲν εἶναι πονηρόν, δημοσίᾳ δὲ χρηστόν, οὐδ’ ᾤετο δεῖν τὸν ῥήτορα ἥκειν ἐπὶ τὸ βῆμα τῶν λόγων ἐπιμεληθέντα πρότερον, ἀλλ’ οὐ τοῦ βίου.;δοκέω;113
Aeschines (0026);Against Timarchus (001);51.5;ὁ γὰρ πρὸς ἕνα τοῦτο πράττων, ἐπὶ μισθῷ δὲ τὴν πρᾶξιν ποιούμενος, αὐτῷ μοι δοκεῖ τούτῳ ἔνοχος εἶναι.;δοκέω;191
Aeschines (0026);Against Timarchus (001);52.9;ὁ γὰρ εἰκῇ τοῦτο καὶ πρὸς πολλοὺς πράττων καὶ μισθοῦ, αὐτῷ μοι δοκεῖ τούτῳ ἔνοχος εἶναι.;δοκέω;193
Aeschines (0026);Against Timarchus (001);70.1;"εἴπατέ μοι πρὸς τοῦ Διὸς καὶ τῶν ἄλλων θεῶν, ὦ ἄνδρες Ἀθηναῖοι, ὅστις αὑτὸν κατῄσχυνε πρὸς Ἡγήσανδρον, οὐ δοκεῖ ὑμῖν πρὸς τὸν πόρνον πεπορνεῦσθαι;";δοκέω;258
Aeschines (0026);Against Timarchus (001);78.5;οὐδὲν γὰρ οἶμαι δοκεῖ προσδεῖσθαι ὑμῖν λόγου οὐδὲ μαρτυρίας, ὅσα τις σαφῶς οἶδεν αὐτός.;δοκέω;284
Aeschines (0026);Against Timarchus (001);79.8;"τῶν ψήφων ἡ τετρυπημένη, ὅτῳ δοκεῖ πεπορνεῦσθαι Τίμαρχος, ἡ δὲ πλήρης, ὅτῳ μή, τί ἂν ἐψηφίσασθε;";δοκέω;286
Aeschines (0026);Against Timarchus (001);89.3;καὶ γὰρ ἔμοιγε δοκεῖ Τίμαρχος οὑτοσί, ὦ ἄνδρες Ἀθηναῖοι, οὐχ ὑπὲρ αὑτοῦ μόνον ἐσπουδακέναι, ἀλλὰ καὶ περὶ τῶν ἄλλων τῶν ταὐτὰ διαπεπραγμένων αὐτῷ.;δοκέω;325
Aeschines (0026);Against Timarchus (001);185.6;"ἢ τίς οὐκ ἀπαίδευτος εἶναι δόξει τῇ μὲν κατὰ φύσιν ἁμαρτανούσῃ χαλεπαίνων, τῷ δὲ παρὰ φύσιν ἑαυτὸν ὑβρίσαντι συμβούλῳ χρώμενος;";δοκέω;653
Aeschines (0026);The Speech on the Embassy (002);51.4;ἐδόκει δεινὸς εἶναι λέγειν Αἰσχίνῃ Φίλιππος, ἀλλ’ οὐκ ἐμοί, ἀλλ’ εἴ τις αὐτοῦ τὴν τύχην περιελὼν ἑτέρῳ περιθείη, οὐκ ἂν πολύ τι καταδεὴς εἴη.;δοκέω;140
Aeschines (0026);The Speech on the Embassy (002);52.1;ἐδόκει Κτησιφῶντι τὴν ὄψιν λαμπρὸς εἶναι, ἐμοὶ δ’ οὐ χείρων Ἀριστόδημος ὁ ὑποκριτής, παρῆν δ’ ἡμῖν καὶ συνεπρέσβευε.;δοκέω;141
