Author;Work;Location;Text;MVI;SID
Antiphon (0028);On the Murder of Herodes (005);16.4;πλέον εἶναι μηδ’ ἀποφυγόντι, ἀλλ’ ἐξεῖναί σοι λέγειν ὅτι κακοῦργος ἀπέφυγον, ἀλλ’ οὐ τοῦ φόνου τὴν δίκην·;ἔξεστι;50
Aristides, Aelius (0284);Orationes 45 Dindorf 2 Keil (045);80.4;ἡμῶν δέ γε οὐχ οἱ πρόγονοι, φαῖεν ἂν, ἀλλ’ ἡμεῖς αὐτοὶ τοῖς ἡμετέροις αὐτῶν ἔργοις καὶ βουλεύμασι καὶ λόγοις ἀπὸ τῶν βαρβάρων τοὺς Ἕλληνας ἐσώσαμεν, οὐ τὸ ἐν Σικελίᾳ κατοικοῦν μέρος αὐτῶν, ἀλλὰ τοὺς σύμπαντας καὶ τοὺς τῆς ἁπάσης οἰκουμένης τὸ ἕτερον μέρος νομισθέντας, ἐξ οὗ τότε τοῖς βαρβάροις ἀντάραντες ἐώσαντο, ὥστ’ ἐξεῖναί σοι περὶ πολιτείας νῦν ποιεῖσθαι λόγους, καὶ περὶ αὐτῶν ἡμῶν, ἔρρουσι δὲ τότε οὔτε λόγος οὔτ’ ἐλπὶς ἐλείπετ’ ἂν οὐδαμῆ οὐδαμῶς.;ἔξεστι;999
Demosthenes (0014);Against Aristocrates (023);61.5;"εἶτ’ οὐ δεινόν, ὦ γῆ καὶ θεοί, καὶ φανερῶς παράνομον, οὐ μόνον παρὰ τὸν γεγραμμένον νόμον, ἀλλὰ καὶ παρὰ τὸν κοινὸν ἁπάντων ἀνθρώπων, τὸν ἄγοντ’ ἢ φέροντα βίᾳ τἄμ’ ἐν πολεμίου μοίρᾳ μὴ ἐξεῖναί μοι ἀμύνεσθαι, εἴ γε μηδὲ τοῦτον τὸν τρόπον ἐξέσται Χαρίδημον ἀποκτεῖναι, ἀλλά, ἐὰν ἀδικῶν ἄγῃ καὶ φέρῃ βίᾳ τά τινος λῃζόμενος, ἀγώγιμος ὁ κτείνας ἔσται, τοῦ νόμου διδόντος, ἐὰν ἐπὶ τούτοις, ἀθῷον εἶναι;";ἔξεστι;239
Lysias (0540);Against Simon (003);44.4;ἐβουλόμην δ’ ἂν ἐξεῖναί μοι παρ’ ὑμῖν καὶ ἐκ τῶν ἄλλων ἐπιδεῖξαι τὴν τούτου πονηρίαν, ἵνα ἠπίστασθε ὅτι πολὺ ἂν δικαιότερον αὐτὸς περὶ θανάτου ἠγωνίζετο ἢ ἑτέρους ὑπὲρ τῆς πατρίδος εἰς κίνδυνον καθίστη.;ἔξεστι;89
Plato (0059);Gorgias (023);468.e.6;ὡς δὴ σύ, ὦ Σώκρατες, οὐκ ἂν δέξαιο ἐξεῖναί σοι ποιεῖν ὅτι δοκεῖ σοι ἐν τῇ πόλει μᾶλλον ἢ μή, οὐδὲ ζηλοῖς ὅταν ἴδῃς τινὰ ἢ ἀποκτείναντα ὃν ἔδοξεν αὐτῷ ἢ ἀφελόμενον χρήματα ἢ δήσαντα.;ἔξεστι;625
Plato (0059);Laws (034);928.d.5;διαφοραὶ πατέρων τε πρὸς αὑτῶν παῖδας γίγνονται καὶ παίδων πρὸς γεννητὰς μείζους ἢ χρεών, ἐν αἷς οἵ τε πατέρες ἡγοῖντ’ ἂν δεῖν τὸν νομοθέτην νομοθετεῖν ἐξεῖναί σφισιν, ἐὰν βούλωνται, τὸν ὑὸν ὑπὸ κήρυκος ἐναντίον ἁπάντων ἀπειπεῖν ὑὸν κατὰ νόμον μηκέτ’ εἶναι, ὑεῖς τ’ αὖ σφίσι πατέρας ὑπὸ νόσων ἢ γήρως διατιθεμένους αἰσχρῶς ἐξεῖναι παρανοίας γράφεσθαι·;ἔξεστι;4515
Xenophon (0032);Anabasis (006);3.1.22.3;ὥστε ἐξεῖναί μοι δοκεῖ ἰέναι ἐπὶ τὸν ἀγῶνα πολὺ σὺν φρονήματι μείζονι ἢ τούτοις.;ἔξεστι;1114
Xenophon (0032);Memorabilia (002);2.6.36.7;ἃ δὴ καὶ ἐγὼ πεισθεὶς ὀρθῶς ἔχειν ἡγοῦμαι οὐκ ἐξεῖναί μοι περὶ σοῦ λέγειν ἐπαινοῦντι οὐδὲν ὅ τι ἂν μὴ ἀληθεύω.;ἔξεστι;813
Aeschines (0026);Against Timarchus (001);34.7;τὸν γὰρ περὶ τῆς προεδρίας τῶν φυλῶν νόμον Τίμαρχος οὑτοσὶ καὶ ἕτεροι τοιοῦτοι ῥήτορες συνελθόντες γεγραμμένοι εἰσὶ μὴ ἐπιτήδειον εἶναι, ἔν’ ἐξῇ αὐτοῖς καὶ ζῆν καὶ λέγειν ὡς αὐτοὶ βούλονται.;ἔξεστι;128
Andocides (0027);On the Mysteries (001);86.5;ἐπειδὴ τοίνυν ἑωρῶμεν ὅτι πολλοῖς τῶν πολιτῶν εἶεν συμφοραί, τοῖς μὲν κατὰ νόμους, τοῖς δὲ κατὰ ψηφίσματα πρότερον γενόμενα, τουτουσὶ τοὺς νόμους ἐθέμεθα, αὐτῶν ἕνεκα τῶν νυνὶ ποιουμένων, ἵνα τούτων μηδὲν γίγνηται μηδὲ ἐξῇ συκοφαντεῖν μηδενί.;ἔξεστι;305
